modelo,coherencia_media,coherencia_std,relevancia_media,relevancia_std,n_palabras_media,n_palabras_std,pct_cumple_formato,pct_tiene_categoria,pct_longitud_ok,n,distinct_1,distinct_2,similitud_interexemplos,diversidad_interexemplos
LLaMA,0.4202975798812177,0.05375806263599402,0.1075,0.13642836948376977,170.33333333333334,16.120380475245206,66.66666666666666,66.66666666666666,83.33333333333334,6,0.6289078199591188,0.9283991522599448,0.31034968370821986,0.6896503162917802
Phi,0.32474914146735084,0.07255356309261347,0.16016666666666665,0.10599512567409253,239.83333333333334,92.08999221775765,16.666666666666664,66.66666666666666,33.33333333333333,6,0.6696079545822995,0.9595801617022919,0.31829043892634107,0.681709561073659
Mistral,0.4303276042261767,0.10322337996699758,0.128,0.15184992591371257,240.83333333333334,30.844232307948058,16.666666666666664,100.0,16.666666666666664,6,0.5382738866551323,0.9062544781771881,0.37827764922994184,0.6217223507700582
